anime_id,url,section,scrape_id,scraped_at
100,https://9animetv.to/watch/one-piece-100,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20575,https://9animetv.to/watch/classroom-of-the-elite-iv-20575,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20602,https://9animetv.to/watch/the-beginning-after-the-end-season-2-20602,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20401,https://9animetv.to/watch/jujutsu-kaisen-the-culling-game-part-1-20401,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20569,https://9animetv.to/watch/rezero-starting-life-in-another-world-season-4-20569,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20578,https://9animetv.to/watch/witch-hat-atelier-20578,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20405,https://9animetv.to/watch/hells-paradise-season-2-20405,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20409,https://9animetv.to/watch/frieren-beyond-journeys-end-season-2-20409,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
355,https://9animetv.to/watch/naruto-shippuden-355,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20385,https://9animetv.to/watch/sentenced-to-be-a-hero-20385,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20572,https://9animetv.to/watch/that-time-i-got-reincarnated-as-a-slime-season-4-20572,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20393,https://9animetv.to/watch/fire-force-season-3-part-2-20393,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20674,https://9animetv.to/watch/the-strongest-job-is-apparently-not-a-hero-or-a-sage-but-an-appraiser-provisional-20674,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20333,https://9animetv.to/watch/jack-of-all-trades-party-of-none-20333,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20305,https://9animetv.to/watch/hell-mode-the-hardcore-gamer-dominates-in-another-world-with-garbage-balancing-20305,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20269,https://9animetv.to/watch/easygoing-territory-defense-by-the-optimistic-lord-production-magic-turns-a-nameless-village-into-the-strongest-fortified-city-20269,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20309,https://9animetv.to/watch/noble-reincarnation-born-blessed-so-ill-obtain-ultimate-power-20309,top_anime,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20237,https://9animetv.to/watch/reincarnated-as-a-dragon-hatchling-20237,recently_added,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20389,https://9animetv.to/watch/chained-soldier-season-2-20389,recently_added,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20305,https://9animetv.to/watch/hell-mode-the-hardcore-gamer-dominates-in-another-world-with-garbage-balancing-20305,recently_added,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
4999,https://9animetv.to/watch/majokko-megu-chan-4999,recently_added,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20253,https://9animetv.to/watch/an-adventurers-daily-grind-at-age-29-20253,recently_added,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20397,https://9animetv.to/watch/my-star-season-3-20397,recently_added,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
1839,https://9animetv.to/watch/tico-and-friends-1839,recently_added,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
14124,https://9animetv.to/watch/honto-ni-atta-gakkou-kaidan-14124,recently_added,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
19600,https://9animetv.to/watch/princession-orchestra-19600,recently_added,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
